names,position
CTRL_WIKI_BUS_largest_employers_NOISE2,0
CTRL_WIKI_BUS_largest_private_and_semiprivate_employers,1
CTRL_WIKI_BUS_largest_private_and_semiprivate_employers,2
CTRL_WIKI_BUS_largest_private_and_semiprivate_employers_NOISE2,1
CTRL_WIKI_BUS_largest_private_and_semiprivate_employers_NOISE2,2
CTRL_WIKI_GEO_member_states_united_nations,0
CTRL_WIKI_GEO_member_states_united_nations,1
CTRL_WIKI_GEO_member_states_united_nations_NOISE2,0
CTRL_WIKI_GEO_member_states_united_nations_NOISE2,1
CTRL_WIKI_MUS_best_selling_girl_groups_worldwide,0
CTRL_WIKI_MUS_best_selling_girl_groups_worldwide,4
CTRL_WIKI_MUS_best_selling_girl_groups_worldwide_NOISE2,0
CTRL_WIKI_MUS_best_selling_girl_groups_worldwide_NOISE2,4
CTRL_WIKI_MUS_best_selling_music_artists_250_million_or_more_records,0
CTRL_WIKI_MUS_best_selling_music_artists_250_million_or_more_records,4
CTRL_WIKI_MUS_best_selling_music_artists_250_million_or_more_records_NOISE2,0
CTRL_WIKI_MUS_best_selling_music_artists_250_million_or_more_records_NOISE2,4
CTRL_WIKI_POL_List_of_current_monarchs_of_sovereign_states,1
CTRL_WIKI_POL_List_of_current_monarchs_of_sovereign_states,5
CTRL_WIKI_POL_List_of_current_monarchs_of_sovereign_states_NOISE2,1
CTRL_WIKI_POL_List_of_current_monarchs_of_sovereign_states_NOISE2,5
CTRL_WIKI_SPO_2019_20_premier_league_personnel_and_kits,0
CTRL_WIKI_SPO_2019_20_premier_league_personnel_and_kits_NOISE2,0
CTRL_WIKI_SPO_2019_20_premier_league_stadiums_and_locations,0
CTRL_WIKI_SPO_2019_20_premier_league_stadiums_and_locations,1
CTRL_WIKI_SPO_2019_20_premier_league_stadiums_and_locations,2
CTRL_WIKI_SPO_2019_20_premier_league_stadiums_and_locations_NOISE2,0
CTRL_WIKI_SPO_2019_20_premier_league_stadiums_and_locations_NOISE2,1
CTRL_WIKI_SPO_2019_20_premier_league_stadiums_and_locations_NOISE2,2
CTRL_WIKI_SPO_serie_a_2019_20_members,0
CTRL_WIKI_SPO_serie_a_2019_20_members,2
CTRL_WIKI_SPO_serie_a_2019_20_members_NOISE2,0
CTRL_WIKI_SPO_serie_a_2019_20_members_NOISE2,2
TOUGH_T2D_BUS_14380604_4_3329235705746762392___company_revenue,1
TOUGH_T2D_BUS_14380604_4_3329235705746762392___company_revenue,3
TOUGH_T2D_BUS_14380604_4_3329235705746762392___company_revenue_NOISE2,1
TOUGH_T2D_BUS_14380604_4_3329235705746762392___company_revenue_NOISE2,3
TOUGH_T2D_POL_1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5___parties,0
TOUGH_T2D_POL_1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5___parties_NOISE2,0
TOUGH_WEB_MISC_wiki_2019_20_premier_league_personnel_and_kits,0
TOUGH_WEB_MISC_wiki_2019_20_premier_league_personnel_and_kits_NOISE2,0
TOUGH_WEB_MISC_wiki_best_selling_girl_groups_worldwide,0
TOUGH_WEB_MISC_wiki_best_selling_girl_groups_worldwide,4
TOUGH_WEB_MISC_wiki_best_selling_girl_groups_worldwide_NOISE2,0
TOUGH_WEB_MISC_wiki_best_selling_girl_groups_worldwide_NOISE2,4
TOUGH_WEB_MISC_wiki_best_selling_music_artists_250_million_or_more_records,0
TOUGH_WEB_MISC_wiki_best_selling_music_artists_250_million_or_more_records,4
TOUGH_WEB_MISC_wiki_best_selling_music_artists_250_million_or_more_records_NOISE2,0
TOUGH_WEB_MISC_wiki_best_selling_music_artists_250_million_or_more_records_NOISE2,4
TOUGH_WEB_MISC_wiki_largest_employers,0
TOUGH_WEB_MISC_wiki_largest_employers_NOISE2,0
TOUGH_WEB_MISC_wiki_list_of_current_monarchs_of_sovereign_states,1
TOUGH_WEB_MISC_wiki_list_of_current_monarchs_of_sovereign_states,5
TOUGH_WEB_MISC_wiki_list_of_current_monarchs_of_sovereign_states_NOISE2,1
TOUGH_WEB_MISC_wiki_list_of_current_monarchs_of_sovereign_states_NOISE2,5
TOUGH_WEB_MISSP_celebrities_NOISE1_0.0,2
TOUGH_WEB_MISSP_drugs_NOISE1_0.0,0
TOUGH_WEB_MISSP_drugs_NOISE1_0.1,0
TOUGH_WEB_MISSP_drugs_NOISE1_0.2,0
TOUGH_WEB_MISSP_drugs_NOISE1_0.3,0
TOUGH_WEB_MISSP_drugs_NOISE1_0.4,0
TOUGH_WEB_MISSP_drugs_NOISE1_0.5,0
TOUGH_WEB_MISSP_drugs_NOISE1_0.6,0
TOUGH_WEB_MISSP_drugs_NOISE1_0.7,0
TOUGH_WEB_MISSP_drugs_NOISE1_0.8,0
TOUGH_WEB_MISSP_drugs_NOISE1_0.9,0
TOUGH_WEB_MISSP_us_states_NOISE1_0.0,0
TOUGH_WEB_MISSP_us_states_NOISE1_0.1,0
